id,name,site,management_ip,model,os_version,status,uptime_days,cpu_percent,memory_percent,serial_number,config_text
1,Router-01,Bucharest,10.10.20.1,ISR4331,IOS-XE 17.9.4,up,153,21,54,FTX10001AB,"hostname Router-01
interface GigabitEthernet0/0/0
 ip address 10.10.20.1 255.255.255.0
 no shutdown
router ospf 10"
2,Router-02,Cluj,10.10.20.2,ASR1001-X,IOS-XE 17.6.5,up,198,17,49,FTX10002AB,"hostname Router-02
interface GigabitEthernet0/0/0
 ip address 10.10.20.2 255.255.255.0
 no shutdown
router ospf 10"
3,Router-03,Iasi,10.10.20.3,C1111-8P,IOS-XE 17.12.1,up,87,29,58,FTX10003AB,"hostname Router-03
interface GigabitEthernet0/0/0
 ip address 10.10.20.3 255.255.255.0
 no shutdown
router ospf 10"
4,Router-04,Timisoara,10.10.20.4,ISR4451-X,IOS-XE 17.9.3,up,244,25,61,FTX10004AB,"hostname Router-04
interface GigabitEthernet0/0/0
 ip address 10.10.20.4 255.255.255.0
 no shutdown
router ospf 10"
5,Router-05,Brasov,10.10.20.5,ISR4331,IOS-XE 17.9.4,down,4,3,22,FTX10005AB,"hostname Router-05
interface GigabitEthernet0/0/0
 ip address 10.10.20.5 255.255.255.0
 shutdown
router ospf 10"
6,Router-06,Bucharest,10.10.20.6,ASR1001-X,IOS-XE 17.6.5,up,132,19,52,FTX10006AB,"hostname Router-06
interface GigabitEthernet0/0/0
 ip address 10.10.20.6 255.255.255.0
 no shutdown
router bgp 65001"
7,Router-07,Cluj,10.10.20.7,C1111-8P,IOS-XE 17.12.1,up,76,28,56,FTX10007AB,"hostname Router-07
interface GigabitEthernet0/0/0
 ip address 10.10.20.7 255.255.255.0
 no shutdown
router bgp 65002"
8,Router-08,Iasi,10.10.20.8,ISR4451-X,IOS-XE 17.9.3,up,301,31,64,FTX10008AB,"hostname Router-08
interface GigabitEthernet0/0/0
 ip address 10.10.20.8 255.255.255.0
 no shutdown
router bgp 65003"
9,Router-09,Timisoara,10.10.20.9,ISR4331,IOS-XE 17.9.4,up,145,23,51,FTX10009AB,"hostname Router-09
interface GigabitEthernet0/0/0
 ip address 10.10.20.9 255.255.255.0
 no shutdown
router eigrp 100"
10,Router-10,Brasov,10.10.20.10,ASR1001-X,IOS-XE 17.6.5,up,209,20,48,FTX10010AB,"hostname Router-10
interface GigabitEthernet0/0/0
 ip address 10.10.20.10 255.255.255.0
 no shutdown
router eigrp 100"
11,Router-11,Bucharest,10.10.20.11,C1111-8P,IOS-XE 17.12.1,up,63,26,57,FTX10011AB,"hostname Router-11
interface GigabitEthernet0/0/0
 ip address 10.10.20.11 255.255.255.0
 no shutdown
router eigrp 100"
12,Router-12,Cluj,10.10.20.12,ISR4451-X,IOS-XE 17.9.3,up,282,34,66,FTX10012AB,"hostname Router-12
interface GigabitEthernet0/0/0
 ip address 10.10.20.12 255.255.255.0
 no shutdown
router eigrp 100"
13,Router-13,Iasi,10.10.20.13,ISR4331,IOS-XE 17.9.4,up,190,22,53,FTX10013AB,"hostname Router-13
interface GigabitEthernet0/0/0
 ip address 10.10.20.13 255.255.255.0
 no shutdown
router ospf 20"
14,Router-14,Timisoara,10.10.20.14,ASR1001-X,IOS-XE 17.6.5,up,221,18,47,FTX10014AB,"hostname Router-14
interface GigabitEthernet0/0/0
 ip address 10.10.20.14 255.255.255.0
 no shutdown
router ospf 20"
15,Router-15,Brasov,10.10.20.15,C1111-8P,IOS-XE 17.12.1,down,2,2,19,FTX10015AB,"hostname Router-15
interface GigabitEthernet0/0/0
 ip address 10.10.20.15 255.255.255.0
 shutdown
router ospf 20"
16,Router-16,Bucharest,10.10.20.16,ISR4451-X,IOS-XE 17.9.3,up,312,30,63,FTX10016AB,"hostname Router-16
interface GigabitEthernet0/0/0
 ip address 10.10.20.16 255.255.255.0
 no shutdown
router ospf 20"
17,Router-17,Cluj,10.10.20.17,ISR4331,IOS-XE 17.9.4,up,171,24,55,FTX10017AB,"hostname Router-17
interface GigabitEthernet0/0/0
 ip address 10.10.20.17 255.255.255.0
 no shutdown
router bgp 65100"
18,Router-18,Iasi,10.10.20.18,ASR1001-X,IOS-XE 17.6.5,up,245,21,50,FTX10018AB,"hostname Router-18
interface GigabitEthernet0/0/0
 ip address 10.10.20.18 255.255.255.0
 no shutdown
router bgp 65100"
19,Router-19,Timisoara,10.10.20.19,C1111-8P,IOS-XE 17.12.1,up,95,27,59,FTX10019AB,"hostname Router-19
interface GigabitEthernet0/0/0
 ip address 10.10.20.19 255.255.255.0
 no shutdown
router bgp 65100"
20,Router-20,Brasov,10.10.20.20,ISR4451-X,IOS-XE 17.9.3,up,330,33,67,FTX10020AB,"hostname Router-20
interface GigabitEthernet0/0/0
 ip address 10.10.20.20 255.255.255.0
 no shutdown
router bgp 65100"
